Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,P12,C2,Pm3,C4,C5,C6,C7,P1,P10,P11,C1,PC13,P14,P2,Pc14,Pc8,P5,PC11,P7,Pm14,Pc10,P9,P6,Pm10,PC14,Pm11,PC2,P4,PC9,c10,c11,c12,Pm15,c14,c15,c8,c9,pc13,pc15,pm12,pm13,p8,c13,pm2,c3,pm4,pm5,pm6,pm7,pm8,pm9
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Debaryomycetaceae,g__Meyerozyma,s__unclassified_g__Meyerozyma,ASV31,24963,0.0142682240939,95,199,104,387,717,800,1676,21,646,14,156,478,40,0,122,266,296,53,134,515,511,151,82,276,10,107,0,174,126,1367,926,1300,0,0,281,483,1721,418,0,1014,0,362,431,342,336,1505,845,3846,1066,407,157
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Agaricostilbaceae,g__Sterigmatomyces,s__unclassified_g__Sterigmatomyces,ASV127,16710,0.00955101648879,1033,378,395,152,0,40,130,21,0,29,0,543,20,11,0,168,868,0,51,0,0,2193,114,0,0,0,0,251,102,150,2317,29,0,1246,0,312,303,11,125,341,413,1940,840,259,0,0,107,0,0,472,1346
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusicolla,s__Fusicolla_acetilerea,ASV586,1517,0.000867079115111,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,318,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__unclassified_g__Gibberella,ASV27,9003,0.0051458887761,0,0,0,136,0,0,59,18,0,7915,0,0,37,0,0,0,0,114,0,178,0,0,0,0,16,0,0,0,0,185,0,0,0,0,281,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,s__unclassified_g__Didymella,ASV705,577,0.000329798714185,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_tropicalis,ASV156,3314,0.00189419920071,159,107,65,34,0,0,85,18,0,17,582,0,0,40,497,0,128,0,0,118,821,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_sp,ASV570,2894,0.00165413774498,0,892,77,0,0,0,0,17,0,0,0,119,0,0,149,0,137,342,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,454,0,0,0,0
d__Eukaryota,k__Fungi,p__unclassified_k__Fungi,c__unclassified_k__Fungi,o__unclassified_k__Fungi,f__unclassified_k__Fungi,g__unclassified_k__Fungi,s__Fungi_sp,ASV978,16,9.14519831363E-6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__unclassified_f__Sclerotiniaceae,s__unclassified_f__Sclerotiniaceae,ASV825,124,7.08752869306E-5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae,g__Cystofilobasidium,s__Cystofilobasidium_macerans,ASV275,20,1.1431497892E-5,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
