Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,C1,C2,C4,C5,C6,C7,P1,P11,P12,P13,P14,P15,P2,P3,P4,P6,P7,P8,PC1,PC10,PC11,PC12,PC13,PC14,PC15,PC2,PC3,PC4,PC5,PC6,PC9,c10,c11,c12,c13,c14,c15,c8,c9,pm1,pm11,pm12,pm13,pm14,pm15,pm2,pm3,pm4,pm5,pm6,pm7,pm8,pm9
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV381,22,1.91730322586E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV142,141,0.000122881706748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0,0,57,58,0,2,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__Aenigmarchaeota,c__unclassified_p__Aenigmarchaeota,o__unclassified_p__Aenigmarchaeota,f__unclassified_p__Aenigmarchaeota,g__unclassified_p__Aenigmarchaeota,s__unclassified_p__Aenigmarchaeota,ASV144,2909,0.00253519776547,0,0,0,68,0,0,0,0,0,0,0,0,53,0,0,0,1937,228,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,8,0,26,33,44,0,8,32,0,0,0,0,0,337,5,0,58,0,60
d__Archaea,k__norank_d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__norank_f__Nitrososphaeraceae,s__unclassified_g__norank_f__Nitrososphaeraceae,ASV382,8,6.97201173041E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV383,44,3.83460645173E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV384,759,0.000661469612923,0,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__Aenigmarchaeota,c__unclassified_p__Aenigmarchaeota,o__unclassified_p__Aenigmarchaeota,f__unclassified_p__Aenigmarchaeota,g__unclassified_p__Aenigmarchaeota,s__unclassified_p__Aenigmarchaeota,ASV385,6,5.22900879781E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV315,106,9.23791554279E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV159,5279,0.0046006562406,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5217,5,0,0,12,8,0,5,0,0,0,0,0,0,0,0,0,0,0,9
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV386,4,3.4860058652E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
